timestamp,omega_x,omega_y,omega_z,alpha_x,alpha_y,alpha_z
1739402299735000000,0.27057716,0.12783173,0.053263225,-0.61650693,0.35075054,10.399215
1739402299741000000,0.2790993,0.12250541,0.051132694,-0.60453594,0.320823,10.353725
1739402299746000000,0.2790993,0.1257012,0.053263225,-0.61291564,0.33399114,10.34774
1739402299752000000,0.27164245,0.13315806,0.05965481,-0.6428431,0.36272156,10.352529
1739402299760000000,0.24074976,0.17257284,0.06924219,-0.60094464,0.34476504,10.257957
1739402299765000000,0.21837921,0.20133498,0.07243799,-0.59136784,0.33159694,10.241198
1739402299767000000,0.21837921,0.20133498,0.07243799,-0.59136784,0.33159694,10.241198
1739402299771000000,0.19813919,0.23222765,0.07669904,-0.5793968,0.32920274,10.210073
1739402299774000000,0.17896444,0.26525086,0.080960095,-0.60453594,0.34356794,10.200497
1739402299780000000,0.16405073,0.294013,0.08735169,-0.61530983,0.35314476,10.155006
1739402299784000000,0.15233281,0.3174488,0.096939065,-0.59974754,0.36870706,10.011354
1739402299789000000,0.14274544,0.3323625,0.10652645,-0.60453594,0.35673606,9.842564
1739402299791000000,0.14274544,0.3323625,0.10652645,-0.60453594,0.35673606,9.842564
1739402299794000000,0.13315806,0.34088463,0.113983296,-0.59256494,0.36990416,9.7084875
1739402299799000000,0.12357068,0.34088463,0.11930962,-0.5734113,0.38067806,9.580399
1739402299804000000,0.12357068,0.34088463,0.11930962,-0.5734113,0.38067806,9.580399
1739402299809000000,0.10439592,0.31851408,0.12463594,-0.5398925,0.4429273,9.352949
1739402299811000000,0.10439592,0.31851408,0.12463594,-0.5398925,0.4429273,9.352949
1739402299819000000,0.09054748,0.2759035,0.11824436,-0.5470751,0.51714754,9.208099
1739402299822000000,0.09054748,0.2759035,0.11824436,-0.5470751,0.51714754,9.208099
1739402299825000000,0.08628642,0.2514024,0.10865697,-0.5650316,0.5722142,9.198523
1739402299830000000,0.09161274,0.23222765,0.09054748,-0.5243302,0.62009823,9.2787285
1739402299834000000,0.10972224,0.21198763,0.068176925,-0.5398925,0.6739678,9.324219
1739402299839000000,0.13954964,0.18855181,0.04261058,-0.48003745,0.6967127,9.288305
1739402299843000000,0.17470337,0.16298546,0.017044231,-0.4225766,0.7015011,9.3661175
1739402299848000000,0.21518342,0.13848437,-0.007456851,-0.50278234,0.6607997,9.449914
1739402299850000000,0.21518342,0.13848437,-0.007456851,-0.50278234,0.6607997,9.449914
1739402299855000000,0.2545982,0.12037488,-0.025566347,-0.6332663,0.61890113,9.482236
1739402299857000000,0.2545982,0.12037488,-0.025566347,-0.6332663,0.61890113,9.482236
1739402299863000000,0.32170987,0.10865697,-0.037284255,-0.878672,0.46686932,9.374496
1739402299868000000,0.34088463,0.113983296,-0.03089267,-0.9624691,0.3878607,9.279925
1739402299870000000,0.34088463,0.113983296,-0.03089267,-0.9624691,0.3878607,9.279925
1739402299875000000,0.34834146,0.12144015,-0.017044231,-1.021127,0.33638534,9.165004
1739402299878000000,0.34834146,0.12144015,-0.017044231,-1.021127,0.33638534,9.165004
1739402299884000000,0.33129725,0.13422333,0.034088463,-1.1911154,0.2693477,9.021352
1739402299890000000,0.3089267,0.14274544,0.06924219,-1.1803415,0.25977087,8.881291
1739402299895000000,0.27377295,0.1470065,0.10226539,-1.1695676,0.2789245,8.798691
1739402299896000000,0.27377295,0.1470065,0.10226539,-1.1695676,0.2789245,8.798691
1739402299900000000,0.23329292,0.14913702,0.13422333,-1.055843,0.33279404,8.7292595
1739402299903000000,0.18961707,0.14594123,0.16192019,-0.9959879,0.4441244,8.76996
1739402299910000000,0.14913702,0.13954964,0.18429075,-0.90740246,0.5351041,8.72088
1739402299913000000,0.10972224,0.12250541,0.20026971,-0.91458505,0.62967503,8.735245
1739402299919000000,0.0777643,0.10013486,0.20985709,-0.8499416,0.6943185,8.699332
1739402299924000000,0.04474111,0.07882957,0.20985709,-0.7158663,0.78170687,8.692149
1739402299930000000,0.04474111,0.07882957,0.20985709,-0.7158663,0.78170687,8.692149
1739402299934000000,0.0031957934,0.033023197,0.18642128,-0.61291564,1.0378864,9.065644
1739402299940000000,0.0010652645,0.010652645,0.165116,-0.5734113,1.1899183,9.283517
1739402299945000000,0.014913702,-0.010652645,0.13954964,-0.59256494,1.30484,9.41041
1739402299947000000,0.014913702,-0.010652645,0.13954964,-0.59256494,1.30484,9.41041
1739402299950000000,0.037284255,-0.025566347,0.1107875,-0.5386954,1.3934253,9.539697
1739402299954000000,0.066046394,-0.036218993,0.07989483,-0.46208093,1.400608,9.689334
1739402299959000000,0.099069595,-0.04580637,0.04580637,-0.4249708,1.3706805,9.792285
1739402299964000000,0.13315806,-0.051132694,0.010652645,-0.45370123,1.2880806,9.858126
1739402299970000000,0.165116,-0.051132694,-0.02130529,-0.5518635,1.2078748,9.90601
1739402299975000000,0.19281286,-0.04474111,-0.04474111,-0.6667852,1.1145009,9.937134
1739402299977000000,0.19281286,-0.04474111,-0.04474111,-0.6667852,1.1145009,9.937134
1739402299984000000,0.22264028,-0.004261058,-0.06498113,-0.92296475,0.93254155,9.8437605
1739402299990000000,0.221575,0.023435818,-0.060720075,-0.9900024,0.82480246,9.76116
1739402299994000000,0.21411815,0.05006743,-0.051132694,-1.033098,0.7589619,9.659407
1739402299999000000,0.19707392,0.07137272,-0.036218993,-1.0893618,0.7038953,9.515755
1739402300004000000,0.17470337,0.08628642,-0.014913702,-1.0714053,0.7026982,9.545682
1739402300009000000,0.15339808,0.0958738,0.010652645,-1.0187328,0.7098808,9.436746
1739402300011000000,0.15339808,0.0958738,0.010652645,-1.0187328,0.7098808,9.436746
1739402300016000000,0.12357068,0.10013486,0.03089267,-0.9720459,0.7326257,9.489418
1739402300021000000,0.12357068,0.10013486,0.03089267,-0.9720459,0.7326257,9.489418
1739402300030000000,0.0628506,0.08628642,0.068176925,-0.88944596,0.92296475,9.624691
1739402300034000000,0.05006743,0.07669904,0.07563378,-0.8774749,0.9911995,9.607931
1739402300039000000,0.039414786,0.06391586,0.07989483,-0.8499416,1.0702082,9.692925
1739402300044000000,0.033023197,0.05219796,0.07989483,-0.8583213,1.1192893,9.787497
1739402300047000000,0.033023197,0.05219796,0.07989483,-0.8583213,1.1192893,9.787497
1739402300052000000,0.029827405,0.04261058,0.0777643,-0.79128367,1.1432313,9.816227
1739402300053000000,0.029827405,0.04261058,0.0777643,-0.79128367,1.1432313,9.816227
1739402300060000000,0.024501082,0.02876214,0.05752428,-0.7062895,1.2569559,9.910798
1739402300064000000,0.022370555,0.023435818,0.040480047,-0.62488663,1.2844892,9.885659
1739402300069000000,0.017044231,0.017044231,0.018109497,-0.557849,1.2785037,9.834184
