#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1739387953848,0.0010652645,-0.002130529,0.0,-0.1436521,9.56723,0.33279404
1739387953853,0.0010652645,0.0,-0.002130529,-0.1364695,9.606734,0.32561144
1739387953859,0.0010652645,0.0,-0.002130529,-0.142455,9.570822,0.33399114
1739387953863,0.0,0.0010652645,-0.0031957934,-0.14724341,9.57561,0.33518824
1739387953869,-0.0010652645,0.0010652645,-0.002130529,-0.15203181,9.5253315,0.32920274
1739387953875,-0.0010652645,0.0,-0.002130529,-0.15203181,9.552865,0.33039984
1739387953880,-0.0010652645,0.0010652645,-0.002130529,-0.1448492,9.611523,0.33039984
1739387953883,0.0,0.0,-0.0010652645,-0.1352724,9.554062,0.33997664
1739387953888,0.0010652645,0.0010652645,-0.002130529,-0.1340753,9.599552,0.33399114
1739387953892,0.0010652645,0.0010652645,-0.002130529,-0.1340753,9.599552,0.33399114
1739387953898,-0.0010652645,0.0,0.0,-0.14604631,9.546879,0.33279404
1739387953899,-0.0010652645,0.0,0.0,-0.14604631,9.546879,0.33279404
1739387953903,0.0,0.0,-0.0010652645,-0.14604631,9.600749,0.34955344
1739387953908,0.0,0.0,-0.0010652645,-0.15562311,9.564836,0.33997664
1739387953912,0.0,0.0,-0.0010652645,-0.15562311,9.564836,0.33997664
1739387953919,0.0,0.0,-0.0010652645,-0.1400608,9.570822,0.33039984
1739387953922,0.0,0.0,-0.0010652645,-0.1400608,9.570822,0.33039984
1739387953930,0.0,0.0,0.0,-0.1436521,9.5971575,0.34237084
1739387953933,0.0010652645,0.0,0.0,-0.15322891,9.563639,0.33399114
1739387953940,0.0010652645,0.0,0.0010652645,-0.1364695,9.562442,0.36272156
1739387953943,0.002130529,0.0,0.0010652645,-0.1328782,9.583989,0.35075054
1739387953950,0.002130529,0.0,-0.0010652645,-0.130484,9.566033,0.34596214
1739387953953,0.002130529,0.0010652645,-0.0010652645,-0.14724341,9.554062,0.33877954
1739387953958,0.0010652645,0.0,0.0,-0.1412579,9.545682,0.34835634
1739387953963,0.0010652645,-0.0010652645,-0.0010652645,-0.1604115,9.562442,0.34476504
1739387953968,0.0010652645,0.0,-0.002130529,-0.15083471,9.53012,0.34955344
1739387953971,0.0010652645,0.0,-0.002130529,-0.15083471,9.53012,0.34955344
1739387953974,0.0,0.0010652645,0.0,-0.1340753,9.561244,0.34117374
1739387953979,0.0010652645,0.0,0.0,-0.1436521,9.576807,0.35793316
1739387953983,0.0010652645,0.0010652645,-0.0010652645,-0.15203181,9.578004,0.35434186
1739387953988,0.0010652645,0.0,-0.002130529,-0.14724341,9.576807,0.36152446
1739387953993,0.0010652645,0.0010652645,0.0,-0.14604631,9.570822,0.33638534
1739387953999,0.0,0.0010652645,0.0,-0.1436521,9.579201,0.33997664
1739387954004,0.0010652645,0.0010652645,0.0,-0.11372458,9.560047,0.34835634
1739387954007,0.0010652645,0.0010652645,0.0,-0.11372458,9.560047,0.34835634
1739387954013,0.0010652645,0.0,-0.0010652645,-0.1388637,9.586384,0.36391866
1739387954018,0.0,0.0010652645,0.0,-0.12689269,9.599552,0.34476504
1739387954023,0.0,0.0,0.0,-0.1376666,9.570822,0.36272156
1739387954029,0.002130529,0.0,0.0,-0.1436521,9.570822,0.35194764
1739387954033,0.0010652645,0.0010652645,-0.002130529,-0.1436521,9.588778,0.36391866
1739387954039,0.0,0.0010652645,-0.0010652645,-0.12928689,9.543288,0.34237084
1739387954043,0.0,0.0,0.0,-0.12090719,9.5732155,0.33758244
1739387954049,0.0,0.0,0.0,-0.12090719,9.5732155,0.33758244
1739387954054,0.0031957934,0.002130529,-0.002130529,-0.1436521,9.57561,0.34117374
1739387954059,0.002130529,0.0,-0.0010652645,-0.14963761,9.551667,0.34715924
1739387954064,0.002130529,0.0,-0.0010652645,-0.14963761,9.551667,0.34715924
1739387954066,0.002130529,0.0,-0.0010652645,-0.14963761,9.551667,0.34715924
1739387954068,0.0010652645,0.0,0.0,-0.15083471,9.554062,0.33758244
1739387954073,0.0010652645,0.0010652645,-0.0010652645,-0.130484,9.566033,0.34117374
1739387954076,0.0010652645,0.0010652645,-0.0010652645,-0.130484,9.566033,0.34117374
1739387954079,0.0010652645,0.0,0.0010652645,-0.1388637,9.55047,0.34835634
1739387954083,0.0,-0.0010652645,-0.0010652645,-0.1364695,9.592369,0.37110126
1739387954089,0.0,-0.0010652645,-0.0010652645,-0.12928689,9.554062,0.33159694
1739387954094,0.0,0.0,-0.002130529,-0.15203181,9.564836,0.34835634
1739387954096,0.0,0.0,-0.002130529,-0.15203181,9.564836,0.34835634
1739387954099,0.0,-0.0010652645,-0.0031957934,-0.1412579,9.539697,0.320823
1739387954103,0.0010652645,-0.0010652645,-0.0031957934,-0.092176765,9.570822,0.34117374
1739387954109,0.0010652645,0.0,-0.0010652645,-0.1364695,9.560047,0.35314476
1739387954113,0.0,0.0,-0.0010652645,-0.1412579,9.570822,0.34117374
1739387954119,0.002130529,0.0,0.0,-0.1352724,9.587581,0.34955344
1739387954123,0.002130529,0.0,0.0,-0.1316811,9.598354,0.34715924
1739387954128,0.002130529,0.0,0.0,-0.12569559,9.583989,0.35194764
1739387954133,0.002130529,0.0010652645,-0.0010652645,-0.1400608,9.574412,0.35913026
1739387954139,0.0010652645,0.0,0.0,-0.1412579,9.566033,0.36152446
1739387954143,0.002130529,0.0010652645,0.0,-0.15083471,9.524135,0.35434186
1739387954149,0.0010652645,0.0,-0.002130529,-0.15322891,9.552865,0.35913026
1739387954154,0.0,0.0010652645,-0.0010652645,-0.1352724,9.554062,0.34356794
1739387954159,0.0,0.0010652645,-0.0010652645,-0.1352724,9.554062,0.34356794
1739387954161,0.0,0.0010652645,-0.0010652645,-0.1352724,9.554062,0.34356794
1739387954164,0.0010652645,0.0010652645,0.0,-0.1388637,9.591172,0.33638534
1739387954169,0.0010652645,0.002130529,0.0,-0.1364695,9.557653,0.33638534
1739387954172,0.0010652645,0.002130529,0.0,-0.1364695,9.557653,0.33638534
1739387954179,0.0010652645,-0.0010652645,0.0,-0.1436521,9.568427,0.34955344
1739387954182,0.0010652645,-0.0010652645,0.0,-0.1436521,9.568427,0.34955344
1739387954188,0.0010652645,0.0,-0.0010652645,-0.15083471,9.56723,0.32920274
1739387954191,0.0010652645,0.0,-0.0010652645,-0.15083471,9.56723,0.32920274
1739387954198,0.0010652645,0.002130529,-0.0010652645,-0.130484,9.557653,0.34237084
1739387954201,0.0010652645,0.002130529,-0.0010652645,-0.130484,9.557653,0.34237084
1739387954208,-0.0010652645,0.0010652645,-0.0010652645,-0.15801731,9.544485,0.33877954
1739387954213,0.0,0.0010652645,-0.0010652645,-0.1592144,9.5732155,0.34356794
1739387954219,0.0010652645,0.0,-0.0010652645,-0.14963761,9.611523,0.32800564
1739387954224,0.0,0.0,-0.0010652645,-0.1352724,9.55047,0.35075054
1739387954225,0.0,0.0,-0.0010652645,-0.1352724,9.55047,0.35075054
1739387954230,0.002130529,0.0,-0.0010652645,-0.1340753,9.560047,0.33758244
1739387954235,0.0010652645,-0.0010652645,-0.0010652645,-0.11851298,9.581595,0.33758244
1739387954239,0.0,-0.0010652645,-0.0010652645,-0.1316811,9.581595,0.33877954
1739387954243,0.0,0.0,0.0,-0.12449849,9.554062,0.34237084
