#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1740627645619973888,0.002130529,0.0031957934,-0.0031957934,-0.6344634,-0.074220255,9.515755
1740627645631211520,0.0031957934,0.002130529,-0.0010652645,-0.65242,-0.06464344,9.555259
1740627645637217280,0.004261058,0.002130529,-0.0010652645,-0.6739678,-0.08619126,9.533711
1740627645651076096,0.002130529,0.002130529,-0.0010652645,-0.6691794,-0.093373865,9.55885
1740627645661210368,0.0010652645,0.002130529,-0.0010652645,-0.6667852,-0.090979666,9.569624
1740627645667572736,0.0010652645,0.002130529,-0.0010652645,-0.6679823,-0.08140286,9.5385
1740627645684481024,0.002130529,0.0031957934,1e-10,-0.6835446,-0.08020575,9.55047
1740627645689773824,0.0010652645,0.0031957934,0.0010652645,-0.6703765,-0.08379706,9.580399
1740627645700386304,0.0031957934,0.0031957934,-0.002130529,-0.6727707,-0.06464344,9.56723
1740627645710533632,0.002130529,0.0031957934,1e-10,-0.6607997,-0.076614454,9.55885
1740627645720078336,0.002130529,0.0010652645,-0.0010652645,-0.6560113,-0.07062895,9.566033
1740627645730388736,0.002130529,0.0010652645,-0.0010652645,-0.6703765,-0.079008654,9.569624
1740627645734589184,0.0031957934,0.0010652645,-0.0010652645,-0.6572084,-0.07062895,9.563639
1740627645751950080,0.0010652645,0.0010652645,1e-10,-0.6452374,-0.059855044,9.55047
1740627645760205312,0.0010652645,0.0010652645,1e-10,-0.6572084,-0.05746084,9.601946
1740627645769981440,0.002130529,0.002130529,0.0010652645,-0.6572084,-0.06703765,9.582792
1740627645779716096,0.0010652645,1e-10,-0.0010652645,-0.6715736,-0.06703765,9.527725
1740627645784596992,0.0010652645,-0.0010652645,-0.0010652645,-0.6500258,-0.073023155,9.588778
1740627645802629632,0.004261058,0.0031957934,-0.002130529,-0.6703765,-0.06584055,9.5492735
