#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1740628111565518333,-0.17150758,-0.0053263223,0.14274544,-0.7410054,6.7767878,7.0545154
1740628111575519042,-0.14274544,-0.01917476,0.13528858,-0.62967503,6.751649,7.1143703
1740628111585698334,-0.10972224,-0.039414786,0.13422333,-0.46926352,6.7827735,7.067683
1740628111595530625,-0.08948222,-0.06178534,0.11930962,-0.24540567,6.789956,6.930017
1740628111605814833,-0.08735169,-0.06498113,0.083090626,-0.03232172,6.7923503,6.8342485
1740628111614888292,-0.09374327,-0.06178534,0.027696876,-0.04189853,6.751649,6.7983356
1740628111621776958,-0.09374327,-0.05965481,0.0,-0.20590134,6.6774287,6.7384806
1740628111635659916,-0.10865697,-0.033023197,-0.06391586,-0.47285482,6.6067996,6.7504516
1740628111640243666,-0.11717909,-0.018109497,-0.0777643,-0.62009823,6.6079965,6.7588315
1740628111654403125,-0.13635385,0.002130529,-0.094808534,-1.0187328,6.56131,6.895301
1740628111664624209,-0.13635385,-0.0063915867,-0.09267801,-1.2054806,6.555324,7.01142
1740628111674462167,-0.128897,-0.00958738,-0.07669904,-1.2868834,6.5110316,7.2125325
1740628111684552083,-0.10013486,-0.004261058,-0.05965481,-1.2210429,6.5002575,7.289147
1740628111694450125,-0.0628506,0.007456851,-0.051132694,-1.1384429,6.4906807,7.2819643
1740628111704271375,-0.034088463,0.018109497,-0.054328486,-1.0594343,6.4966664,7.2472486
1740628111714245417,-0.014913702,0.03089267,-0.06498113,-1.0570401,6.527791,7.2747817
1740628111724250916,0.0063915867,0.037284255,-0.070307456,-1.0785879,6.506243,7.371747
1740628111734222875,0.03834952,0.037284255,-0.06498113,-1.0714053,6.4978633,7.4028716
1740628111745186084,0.080960095,0.025566347,-0.056459017,-0.9923966,6.503849,7.418434
1740628111754887083,0.12357068,0.017044231,-0.05539375,-0.8858546,6.5816603,7.4004774
